VIN_(1-10),County,City,State,Postal_Code,Model_Year,Make,Model,Electric_Vehicle_Type,Clean_Alternative_Fuel_Vehicle_CAFV_Eligibility,Electric_Range,Base_MSRP,Legislative_District,DOL_Vehicle_ID,Vehicle_Location,Electric_Utility,2020_Census_Tract
KNDCE3LG2K,Thurston,Olympia,WA,98501,2019,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,22,100808571,POINT (-122.89691999999997 47.04353500000008),PUGET SOUND ENERGY INC,53067010700
5YJYGDEFXL,Snohomish,Bothell,WA,98021,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,1,103095842,POINT (-122.17945799999995 47.80258900000007),PUGET SOUND ENERGY INC,53061051937
KNDCM3LD3K,King,Seattle,WA,98146,2019,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,34,3267771,POINT (-122.355145 47.50565500000005),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033012000
WBY1Z8C56H,Kitsap,Hansville,WA,98340,2017,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,97,0,23,2039698,POINT (-122.57780999999994 47.90397500000006),PUGET SOUND ENERGY INC,53035090101
3C3CFFGE4F,Snohomish,Edmonds,WA,98020,2015,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,0,21,326547609,POINT (-122.37507 47.80807000000004),PUGET SOUND ENERGY INC,53061050502
5YJ3E1EB1J,Snohomish,Woodway,WA,98020,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,32,337501195,POINT (-122.37507 47.80807000000004),PUGET SOUND ENERGY INC,53061050600
3C3CFFGE6G,Yakima,Naches,WA,98937,2016,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,14,202801616,POINT (-120.69917999999996 46.73050000000006),PACIFICORP,53077003002
1N4AZ1CPXJ,Chelan,Cashmere,WA,98815,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,12,475574935,POINT (-120.46869999999996 47.517323300000044),PUD NO 1 OF CHELAN COUNTY,53007960501
5YJYGDEE3L,Snohomish,Bothell,WA,98012,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,1,109167621,POINT (-122.1873 47.82024500000006),PUGET SOUND ENERGY INC,53061052009
5YJ3E1EA0J,Thurston,Tumwater,WA,98501,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,35,111617271,POINT (-122.89691999999997 47.04353500000008),PUGET SOUND ENERGY INC,53067011720
WA1F2AFY4M,Snohomish,Lake Stevens,WA,98258,2021,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,44,170340453,POINT (-122.11206499999997 48.00434500000006),PUGET SOUND ENERGY INC,53061052607
1FADP5CU4G,Kitsap,Port Orchard,WA,98366,2016,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,26,180396618,POINT (-122.63926499999997 47.53730000000007),PUGET SOUND ENERGY INC,53035092600
5YJXCAE46G,Snohomish,Monroe,WA,98272,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,39,476016901,POINT (-121.97221499999995 47.85674000000006),PUGET SOUND ENERGY INC,53061052207
1N4AZ0CP6D,Kitsap,Port Orchard,WA,98366,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,26,245794965,POINT (-122.63926499999997 47.53730000000007),PUGET SOUND ENERGY INC,53035092300
JN1AZ0CP7C,Kitsap,Bremerton,WA,98310,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,23,8593350,POINT (-122.61136499999998 47.575195000000065),PUGET SOUND ENERGY INC,53035080400
1G1RD6E44C,Kitsap,Poulsbo,WA,98370,2012,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,0,23,226994967,POINT (-122.64176999999995 47.73752500000006),PUGET SOUND ENERGY INC,53035090502
5UXTA6C05P,Kitsap,Kingston,WA,98346,2023,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,23,220323715,POINT (-122.50155999999998 47.801900000000046),PUGET SOUND ENERGY INC,53035090102
3FA6P0SU0H,Snohomish,Bothell,WA,98012,2017,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,21,349945921,POINT (-122.1873 47.82024500000006),PUGET SOUND ENERGY INC,53061051928
1N4BZ1CP4K,Kitsap,Port Orchard,WA,98367,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,35,102908466,POINT (-122.68516419999997 47.50645300000008),PUGET SOUND ENERGY INC,53035092101
KNDCC3LG8K,Snohomish,Lynnwood,WA,98087,2019,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,21,1909491,POINT (-122.2559465 47.86567880000007),PUGET SOUND ENERGY INC,53061041703
5UXKT0C55G,Snohomish,Edmonds,WA,98020,2016,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,0,21,132793202,POINT (-122.37507 47.80807000000004),PUGET SOUND ENERGY INC,53061050502
KNDCD3LD6N,Marin,San Rafael,CA,94901,2022,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,,181521700,POINT (-122.5260879 37.970234600000026),NON WASHINGTON STATE ELECTRIC UTILITY,6041111002
5YJ3E1EA9L,Snohomish,Marysville,WA,98270,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,38,4759450,POINT (-122.17672999999996 48.05542000000003),PUGET SOUND ENERGY INC,53061052903
3FA6P0SU8E,Snohomish,Snohomish,WA,98296,2014,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,1,205301197,POINT (-122.15133999999995 47.88511580000005),PUGET SOUND ENERGY INC,53061052107
KMHC65LD9M,Whitman,Pullman,WA,99163,2021,HYUNDAI,IONIQ,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,29,0,9,167261251,POINT (-117.17911999999995 46.73088500000006),AVISTA CORP,53075000601
JN1AZ0CP4C,Island,Greenbank,WA,98253,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,10,261784841,POINT (-122.60715879999998 48.07549170000004),PUGET SOUND ENERGY INC,53029971301
5UXTA6C04N,Snohomish,Bothell,WA,98021,2022,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,1,195352475,POINT (-122.17945799999995 47.80258900000007),PUGET SOUND ENERGY INC,53061051938
5YJSA1E25L,Thurston,Olympia,WA,98513,2020,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,330,0,2,114268717,POINT (-122.81754499999994 46.98876000000007),PUGET SOUND ENERGY INC,53067011624
5YJ3E1EAXK,Thurston,Olympia,WA,98516,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,2,194643396,POINT (-122.75102529999998 47.08149000000003),PUGET SOUND ENERGY INC,53067012330
WBY1Z4C55F,Island,Coupeville,WA,98239,2015,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,0,10,349879071,POINT (-122.68127499999997 48.21784000000008),PUGET SOUND ENERGY INC,53029971100
1N4AZ1CP9K,Snohomish,Lake Stevens,WA,98258,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,44,478289241,POINT (-122.11206499999997 48.00434500000006),PUGET SOUND ENERGY INC,53061052505
5YJ3E1EA8K,Snohomish,Lake Stevens,WA,98258,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,44,476748793,POINT (-122.11206499999997 48.00434500000006),PUGET SOUND ENERGY INC,53061052604
WBY1Z2C5XE,Kitsap,Bremerton,WA,98311,2014,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,81,0,23,176066026,POINT (-122.64688149999995 47.63443640000003),PUGET SOUND ENERGY INC,53035091500
1N4AZ0CP2D,Thurston,Olympia,WA,98502,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,22,212905045,POINT (-122.92145 47.04593500000004),PUGET SOUND ENERGY INC,53067010520
WBY8P4C55K,Kitsap,Port Orchard,WA,98367,2019,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,126,0,26,2588225,POINT (-122.68516419999997 47.50645300000008),PUGET SOUND ENERGY INC,53035092101
5UXKT0C57G,Yakima,Yakima,WA,98908,2016,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,0,14,117777474,POINT (-120.60272019999996 46.59656250000006),PACIFICORP,53077002900
1N4BZ0CP0H,King,Renton,WA,98056,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,11,243725709,POINT (-122.18050499999998 47.50005500000003),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025401
1N4AZ0CP9G,Thurston,Lacey,WA,98516,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,22,103812901,POINT (-122.75102529999998 47.08149000000003),PUGET SOUND ENERGY INC,53067012221
KNDCC3LG8L,Thurston,Rochester,WA,98579,2020,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,20,138237109,POINT (-123.09574999999995 46.82114000000007),PUGET SOUND ENERGY INC,53067012730
5UXKT0C39H,Snohomish,Bothell,WA,98021,2017,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,0,1,137151381,POINT (-122.17945799999995 47.80258900000007),PUGET SOUND ENERGY INC,53061051926
5UXTS1C02M,Skagit,Anacortes,WA,98221,2021,BMW,X3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,0,40,144921822,POINT (-122.61530499999998 48.50127500000008),PUGET SOUND ENERGY INC,53057940600
YV4BC0PM5H,Kitsap,Bainbridge Island,WA,98110,2017,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,0,23,237960649,POINT (-122.52357809999995 47.629332300000044),PUGET SOUND ENERGY INC,53035090902
5YJ3E1EB0L,King,Redmond,WA,98052,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,48,6069451,POINT (-122.12301999999994 47.67668000000003),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032330
5YJXCAE23J,Pend Oreille,Elk,WA,99009,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,7,475018764,POINT (-117.34964999999994 48.01754500000004),PUD NO 1 OF PEND OREILLE COUNTY,53051970500
5YJSA1E26J,Snohomish,Everett,WA,98204,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,0,21,228476314,POINT (-122.24128499999995 47.91088000000008),PUGET SOUND ENERGY INC,53061041901
5YJ3E1EC8L,Snohomish,Monroe,WA,98272,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,308,0,39,228248450,POINT (-121.97221499999995 47.85674000000006),PUGET SOUND ENERGY INC,53061052203
1FADP3R44E,Pierce,Dupont,WA,98327,2014,FORD,FOCUS,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,76,0,28,264487065,POINT (-122.64381499999996 47.097455000000025),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053072802
JN1AZ0CP8C,King,Seatac,WA,98188,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,33,181532130,POINT (-122.29178999999999 47.43473000000006),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028300
3FA6P0PU5G,Kitsap,Port Orchard,WA,98366,2016,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,26,339646149,POINT (-122.63926499999997 47.53730000000007),PUGET SOUND ENERGY INC,53035092400
1G1RA6E45F,Kitsap,Poulsbo,WA,98370,2015,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,23,166580291,POINT (-122.64176999999995 47.73752500000006),PUGET SOUND ENERGY INC,53035091100
1N4AZ0CP8G,King,Vashon,WA,98070,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,34,3755496,POINT (-122.45867519999996 47.448468700000035),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033027701
WBY1Z6C33H,Kitsap,Kingston,WA,98346,2017,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,81,0,23,215241162,POINT (-122.50155999999998 47.801900000000046),PUGET SOUND ENERGY INC,53035940000
1G1RH6E46E,Kitsap,Bremerton,WA,98311,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,23,180762949,POINT (-122.64688149999995 47.63443640000003),PUGET SOUND ENERGY INC,53035091500
3C3CFFGE6F,King,Seattle,WA,98103,2015,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,0,46,266970126,POINT (-122.34300999999999 47.659185000000036),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001800
1N4BZ0CP5H,Snohomish,Everett,WA,98208,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,44,282631247,POINT (-122.22477569999995 47.91564090000003),PUGET SOUND ENERGY INC,53061041605
WBY2Z2C50F,Chelan,Leavenworth,WA,98826,2015,BMW,I8,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,0,12,228339114,POINT (-120.66191529999998 47.59700830000003),PUD NO 1 OF CHELAN COUNTY,53007960203
5YJSA1E15H,Thurston,Yelm,WA,98597,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,2,477498283,POINT (-122.61022999999994 46.94126000000006),PUGET SOUND ENERGY INC,53067012422
1N4AZ0CP9F,Snohomish,Snohomish,WA,98290,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,44,214372014,POINT (-122.09150499999998 47.91555500000004),PUGET SOUND ENERGY INC,53061052401
5YJ3E1EA1J,Snohomish,Everett,WA,98203,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,38,476459056,POINT (-122.21310499999998 47.95479000000006),PUGET SOUND ENERGY INC,53061041400
5YJ3E1EA1J,Snohomish,Bothell,WA,98021,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,1,255464758,POINT (-122.17945799999995 47.80258900000007),PUGET SOUND ENERGY INC,53061051922
1N4AZ0CP9D,Thurston,Olympia,WA,98516,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,22,114803405,POINT (-122.75102529999998 47.08149000000003),PUGET SOUND ENERGY INC,53067012221
5YJYGDEE1L,Snohomish,Everett,WA,98204,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,38,110539509,POINT (-122.24128499999995 47.91088000000008),PUGET SOUND ENERGY INC,53061041907
5YJ3E1EA5J,Snohomish,Bothell,WA,98012,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,1,295873308,POINT (-122.1873 47.82024500000006),PUGET SOUND ENERGY INC,53061052107
KNDCD3LD8L,Yakima,Yakima,WA,98908,2020,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,15,148895785,POINT (-120.60272019999996 46.59656250000006),PACIFICORP,53077003400
1G1FX6S08H,Snohomish,Lake Stevens,WA,98258,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,44,228975029,POINT (-122.11206499999997 48.00434500000006),PUGET SOUND ENERGY INC,53061052607
1N4AZ0CP3F,Snohomish,Everett,WA,98204,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,21,209825899,POINT (-122.24128499999995 47.91088000000008),PUGET SOUND ENERGY INC,53061041809
1N4BZ1CP9K,Snohomish,Snohomish,WA,98296,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,1,477436795,POINT (-122.15133999999995 47.88511580000005),PUGET SOUND ENERGY INC,53061052113
5YJ3E1EB6L,Snohomish,Lynnwood,WA,98087,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,21,116830899,POINT (-122.2559465 47.86567880000007),PUGET SOUND ENERGY INC,53061041703
1N4BZ0CP4H,Kitsap,Port Orchard,WA,98367,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,26,162322723,POINT (-122.68516419999997 47.50645300000008),PUGET SOUND ENERGY INC,53035092101
1G1RB6S56J,Kitsap,Kingston,WA,98346,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,23,477670994,POINT (-122.50155999999998 47.801900000000046),PUGET SOUND ENERGY INC,53035940000
3FA6P0PU1G,Thurston,Tumwater,WA,98501,2016,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,22,347508836,POINT (-122.89691999999997 47.04353500000008),PUGET SOUND ENERGY INC,53067010802
5YJSA1E21J,Yakima,Selah,WA,98942,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,0,15,171305151,POINT (-120.54187999999999 46.654175000000066),PACIFICORP,53077003400
5YJ3E1EA7K,Kitsap,Bremerton,WA,98311,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,23,228772085,POINT (-122.64688149999995 47.63443640000003),PUGET SOUND ENERGY INC,53035091600
JTDKARFP8J,Yakima,Yakima,WA,98908,2018,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,14,350165294,POINT (-120.60272019999996 46.59656250000006),PACIFICORP,53077002801
JN1AZ0CP2B,Snohomish,Monroe,WA,98272,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,39,205140106,POINT (-121.97221499999995 47.85674000000006),PUGET SOUND ENERGY INC,53061053801
WBY1Z4C51F,Snohomish,Edmonds,WA,98026,2015,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,0,32,343971526,POINT (-122.33568499999996 47.803720000000055),PUGET SOUND ENERGY INC,53061050800
JTDKAMFP0M,Maricopa,Tempe,AZ,85281,2021,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,,179239910,POINT (-111.93722 33.42554),NON WASHINGTON STATE ELECTRIC UTILITY,4013318800
KNDCC3LG7K,Douglas,East Wenatchee,WA,98802,2019,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,12,298218728,POINT (-120.28673999999995 47.41760000000005),PUD NO 1 OF DOUGLAS COUNTY,53017950600
5YJSA1E24H,Snohomish,Bothell,WA,98012,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,44,203419310,POINT (-122.1873 47.82024500000006),PUGET SOUND ENERGY INC,53061052010
5YJXCBE22L,Snohomish,Edmonds,WA,98020,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,293,0,21,125869355,POINT (-122.37507 47.80807000000004),PUGET SOUND ENERGY INC,53061050502
3C3CFFGE9F,Kitsap,Port Orchard,WA,98367,2015,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,0,35,241871066,POINT (-122.68516419999997 47.50645300000008),PUGET SOUND ENERGY INC,53035092901
3FA6P0PU9E,Kitsap,Bremerton,WA,98337,2014,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,26,226603891,POINT (-122.63590499999998 47.570970000000045),PUGET SOUND ENERGY INC,53035080500
3C3CFFGEXF,Thurston,Yelm,WA,98597,2015,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,0,2,145792188,POINT (-122.61022999999994 46.94126000000006),PUGET SOUND ENERGY INC,53067012422
WA1VAAGE5K,King,Kirkland,WA,98034,2019,AUDI,E-TRON,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,204,0,1,2352017,POINT (-122.20928499999997 47.71124000000003),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022203
2T3YL4DV0D,Snohomish,Lynnwood,WA,98087,2013,TOYOTA,RAV4,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,103,0,21,349783535,POINT (-122.2559465 47.86567880000007),PUGET SOUND ENERGY INC,53061041816
3FA6P0PU0F,Yakima,Yakima,WA,98908,2015,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,14,214566089,POINT (-120.60272019999996 46.59656250000006),PACIFICORP,53077002801
1N4AZ0CP2F,Skagit,Mount Vernon,WA,98274,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,10,204042555,POINT (-122.32295499999998 48.41520000000003),PUGET SOUND ENERGY INC,53057952700
JN1AZ0CP0C,Grant,Moses Lake,WA,98837,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,13,255859096,POINT (-119.25998759999999 47.124015400000076),PUD NO 2 OF GRANT COUNTY,53025010904
1N4BZ0CP1H,Snohomish,Bothell,WA,98012,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,1,227627389,POINT (-122.1873 47.82024500000006),PUGET SOUND ENERGY INC,53061051922
1N4BZ0CP3G,Snohomish,Bothell,WA,98021,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,1,165583127,POINT (-122.17945799999995 47.80258900000007),PUGET SOUND ENERGY INC,53061051914
5UXKT0C34H,Douglas,East Wenatchee,WA,98802,2017,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,0,12,138837380,POINT (-120.28673999999995 47.41760000000005),PUD NO 1 OF DOUGLAS COUNTY,53017950800
3C3CFFGE4F,Thurston,Olympia,WA,98506,2015,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,0,22,172463350,POINT (-122.88747809999995 47.051957300000026),PUGET SOUND ENERGY INC,53067010300
3C3CFFGE4D,King,Kent,WA,98042,2013,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,0,47,232554948,POINT (-122.11162499999995 47.360780000000034),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031601
